ticker,strategy,engine,strategy_contract,strategy_contract_version,rule_fingerprint,strategy_fingerprint,cost_assumption_source,execution_assumption,tested_entry_rule,tested_risk_rule,raw_signal_count,effective_samples,closed_trade_count,sample_count,trade_count,executed_entry_count,open_position_count,lookback_start,lookback_end,forward_horizon,valid,min_sample_required,description,strategy_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_worst_day,strategy_best_day,buy_hold_return_same_window,alpha_vs_buy_hold,trade_win_rate,avg_trade_return,median_trade_return,worst_trade_return,best_trade_return,latest_entry_signal_active,latest_exit_signal_active,latest_position_active,reason,data_source,market_timezone,report_generated_at_utc,price_frequency,price_adjustment_policy,data_timestamp,price_basis
APP,ma20_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma20_reclaim_bullish,close_below_ma20,27,27,27,27,27,27,0,2021-04-15,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA20 in a bullish intermediate trend.,4.9309,0.4066,1.0898,-0.3111,-0.1468,0.4627,5.7922,-0.8613,0.4074,0.1134,-0.0119,-0.1141,2.1965,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
IEF,ma50_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma50_reclaim_bullish,close_below_ma50,132,132,132,132,132,132,0,2005-01-03,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA50 while remaining above MA200.,0.0614,0.0028,0.0873,-0.1446,-0.0251,0.0264,0.9584,-0.897,0.2576,0.0006,-0.0032,-0.0203,0.0954,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
TLT,ma20_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma20_reclaim_bullish,close_below_ma20,171,171,171,171,171,171,0,2005-01-03,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA20 in a bullish intermediate trend.,0.0016,0.0001,0.0394,-0.2746,-0.0575,0.0636,0.9122,-0.9106,0.386,0.0004,-0.0049,-0.0585,0.1911,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
TLT,ma50_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma50_reclaim_bullish,close_below_ma50,134,134,134,134,134,134,0,2005-01-03,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA50 while remaining above MA200.,-0.108,-0.0053,-0.0175,-0.3664,-0.0667,0.0648,0.9122,-1.0202,0.2687,-0.0004,-0.0064,-0.0351,0.1649,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
IEF,rsi_oversold_reclaim_40,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,rsi_oversold_reclaim_40,close_below_ma20_or_rsi_above_70,262,33,33,33,33,33,0,2005-01-03,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,RSI recovers through 40 after an oversold reading while price is above MA5.,-0.0891,-0.0043,-0.3823,-0.1169,-0.0108,0.0108,0.9584,-1.0475,0.2727,-0.0028,-0.0036,-0.0149,0.0188,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
TLT,rsi_oversold_reclaim_40,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,rsi_oversold_reclaim_40,close_below_ma20_or_rsi_above_70,249,33,33,33,33,33,0,2005-01-03,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,RSI recovers through 40 after an oversold reading while price is above MA5.,-0.1371,-0.0068,-0.2682,-0.1983,-0.0212,0.0319,0.9122,-1.0493,0.2727,-0.0043,-0.0068,-0.0426,0.0788,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
IEF,ma20_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma20_reclaim_bullish,close_below_ma20,191,191,191,191,191,191,0,2005-01-03,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA20 in a bullish intermediate trend.,-0.2226,-0.0117,-0.3027,-0.2679,-0.0178,0.0192,0.9584,-1.181,0.3089,-0.0013,-0.0032,-0.0234,0.0729,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
GE,rsi_oversold_reclaim_40,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,rsi_oversold_reclaim_40,close_below_ma20_or_rsi_above_70,302,49,49,49,49,49,0,2005-01-03,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,RSI recovers through 40 after an oversold reading while price is above MA5.,1.0068,0.033,0.3845,-0.3024,-0.0839,0.1349,2.3566,-1.3498,0.4082,0.0175,-0.0105,-0.0781,0.4482,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
ARKK,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,896,82,82,82,82,82,0,2014-10-31,2026-07-07,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,1.8287,0.0934,0.5429,-0.3961,-0.0743,0.0834,3.4048,-1.5761,0.439,0.0156,-0.0052,-0.1132,0.2568,True,False,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-07,adjusted
XLF,ma50_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma50_reclaim_bullish,close_below_ma50,143,143,143,143,143,143,0,2005-01-03,2026-07-10,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA50 while remaining above MA200.,0.7434,0.0262,0.2967,-0.3052,-0.0537,0.0821,2.4702,-1.7268,0.4056,0.0049,-0.0064,-0.0764,0.1959,False,False,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-10,adjusted
RDDT,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,219,20,20,20,20,21,1,2024-03-21,2026-07-09,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,1.1742,0.4055,0.9352,-0.2841,-0.0936,0.4197,2.9713,-1.7971,0.45,0.0548,-0.0077,-0.0991,0.8703,True,False,True,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted
ARKK,ma50_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma50_reclaim_bullish,close_below_ma50,46,46,46,46,46,46,0,2014-10-31,2026-07-07,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA50 while remaining above MA200.,1.6035,0.0857,0.5846,-0.3966,-0.0743,0.082,3.4048,-1.8013,0.2826,0.0321,-0.0156,-0.0859,0.8597,False,False,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-07,adjusted
ARM,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,250,25,25,25,25,25,0,2023-09-14,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,1.5776,0.4008,0.951,-0.4733,-0.1344,0.1638,3.4216,-1.844,0.36,0.0614,-0.0121,-0.1324,1.0233,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
XLF,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,788,92,92,92,92,93,1,2005-01-03,2026-07-10,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,0.5061,0.0193,0.217,-0.3272,-0.1116,0.164,2.4702,-1.9641,0.4457,0.0056,-0.004,-0.0795,0.3983,True,False,True,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-10,adjusted
TEAM,ma20_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma20_reclaim_bullish,close_below_ma20,58,58,58,58,58,58,0,2015-12-10,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA20 in a bullish intermediate trend.,0.2799,0.0237,0.2143,-0.4959,-0.1472,0.2186,2.4615,-2.1816,0.3621,0.0099,-0.0123,-0.1282,0.4966,False,False,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
APP,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,414,49,49,49,49,49,0,2021-04-15,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,3.4978,0.3339,0.8115,-0.5358,-0.1483,0.4627,5.7922,-2.2944,0.4082,0.0477,-0.014,-0.2286,0.8191,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
XLF,rsi_oversold_reclaim_40,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,rsi_oversold_reclaim_40,close_below_ma20_or_rsi_above_70,254,33,33,33,33,33,0,2005-01-03,2026-07-10,next_close_to_next_close_after_exit_signal,True,20,RSI recovers through 40 after an oversold reading while price is above MA5.,0.1578,0.0068,0.1163,-0.239,-0.1116,0.164,2.4702,-2.3124,0.4848,0.0078,-0.0067,-0.1072,0.4789,False,False,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-10,adjusted
