date,strategy_value,regime,raw_regime_signal_same_day,execution_assumption,cash,cash_weight,QQQ_weight,SMH_weight,MSFT_weight,SPY_weight,tech_ai_concentration,semiconductor_exposure,MSFT_exposure
2005-11-11,20984.9685,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.14205,0.300216,0.257816,0.200656,0.099262,0.758688,0.257816,0.200656
2005-11-14,21047.8431,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.141626,0.299348,0.259546,0.20057,0.09891,0.759465,0.259546,0.20057
2005-11-15,20999.1339,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.141954,0.298613,0.257929,0.202726,0.098778,0.759268,0.257929,0.202726
2005-11-16,21068.3473,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.141488,0.299454,0.256582,0.203823,0.098654,0.759859,0.256582,0.203823
2005-11-17,21230.7788,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.140405,0.301092,0.255752,0.203941,0.098811,0.760784,0.255752,0.203941
2005-11-18,21332.2724,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.139737,0.300696,0.257143,0.203696,0.098727,0.761536,0.257143,0.203696
2005-11-21,21348.0699,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.139634,0.301192,0.255826,0.204198,0.099151,0.761216,0.255826,0.204198
2005-11-22,21444.0765,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.139009,0.300933,0.259449,0.201479,0.099131,0.761861,0.259449,0.201479
2005-11-23,21497.4455,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.138664,0.300906,0.259924,0.201051,0.099456,0.76188,0.259924,0.201051
2005-11-25,21533.3986,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.138432,0.30105,0.261585,0.199565,0.099368,0.7622,0.261585,0.199565
2005-11-28,21427.9542,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.139113,0.300004,0.261258,0.200475,0.09915,0.761737,0.261258,0.200475
2005-11-29,21364.7272,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.139525,0.299465,0.261116,0.200561,0.099333,0.761142,0.261116,0.200561
2005-11-30,21380.9494,base,base,"previous-day regime signal, current-day close execution",2980.9121,0.139419,0.298492,0.262958,0.200409,0.098723,0.761858,0.262958,0.200409
2005-12-01,21762.4612,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.150002,0.300003,0.249994,0.200001,0.1,0.749998,0.249994,0.200001
2005-12-02,21820.5226,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.149603,0.299917,0.250293,0.200328,0.09986,0.750537,0.250293,0.200328
2005-12-05,21650.6085,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.150777,0.300067,0.247981,0.200746,0.100429,0.748794,0.247981,0.200746
2005-12-06,21674.7483,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.150609,0.300708,0.248805,0.199371,0.100508,0.748883,0.248805,0.199371
2005-12-07,21631.5302,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.15091,0.300762,0.248005,0.200202,0.100121,0.748969,0.248005,0.200202
2005-12-08,21459.2827,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.152121,0.301011,0.244635,0.201373,0.100861,0.747018,0.244635,0.201373
2005-12-09,21564.9588,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.151376,0.300646,0.246819,0.200531,0.100629,0.747995,0.246819,0.200531
2005-12-12,21614.6022,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.151028,0.301048,0.249238,0.198193,0.100493,0.748479,0.249238,0.198193
2005-12-13,21628.1601,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.150933,0.302139,0.250054,0.19576,0.101114,0.747953,0.250054,0.19576
2005-12-14,21579.7412,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.151272,0.301765,0.249315,0.195909,0.101738,0.74699,0.249315,0.195909
2005-12-15,21553.6815,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.151455,0.302642,0.249421,0.194915,0.101567,0.746979,0.249421,0.194915
2005-12-16,21459.3632,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.15212,0.30188,0.248687,0.195627,0.101686,0.746194,0.248687,0.195627
2005-12-19,21205.3187,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.153943,0.300647,0.24558,0.197455,0.102375,0.743682,0.24558,0.197455
2005-12-20,21239.1934,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.153697,0.300388,0.246245,0.197361,0.102309,0.743993,0.246245,0.197361
2005-12-21,21243.3887,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.153667,0.301649,0.245866,0.196367,0.102452,0.743881,0.245866,0.196367
2005-12-22,21340.4731,base,base,"previous-day regime signal, current-day close execution",3264.4065,0.152968,0.302226,0.247837,0.19445,0.10252,0.744513,0.247837,0.19445
