ticker,rule,rule_type,strategy_contract,strategy_contract_version,rule_fingerprint,strategy_fingerprint,cost_assumption_source,tested_rule,horizon_days,raw_signal_count,completed_signal_count,effective_samples,closed_trade_count,sample_count,valid,min_sample_required,lookback_start,lookback_end,measurement_assumption,benchmark_data_required_for_completed_sample,description,win_rate,avoidance_rate,avg_gross_forward_return,avg_forward_return,median_forward_return,worst_forward_return,best_forward_return,avg_mae,worst_mae,benchmark,paired_benchmark_sample_count,avg_gross_benchmark_same_dates,avg_benchmark_same_dates,alpha_vs_benchmark_same_dates,reason,data_source,market_timezone,report_generated_at_utc,price_frequency,price_adjustment_policy,data_timestamp,price_basis,evidence_score_0_100
TXN,failed_rebound_risk,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,failed_rebound_risk,5,730,730,293,0,293,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA5 and the prior 10-day close low.,0.5085,0.4915,0.003,0.0008,0.0015,-0.1449,0.0958,-0.0305,-0.192,SMH,293.0,0.0029,0.0007,0.0001,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.9
VGT,failed_rebound_risk,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,failed_rebound_risk,5,662,662,264,0,264,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA5 and the prior 10-day close low.,0.5455,0.4545,0.0035,0.0013,0.0037,-0.1667,0.1627,-0.0264,-0.2613,SPY,264.0,0.003,0.0008,0.0005,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.9
IGV,failed_rebound_risk,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,failed_rebound_risk,10,729,729,224,0,224,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA5 and the prior 10-day close low.,0.567,0.433,0.0092,0.007,0.0072,-0.1786,0.1385,-0.0359,-0.5982,QQQ,224.0,0.0078,0.0056,0.0014,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.9
ADBE,break_ma50,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,break_ma50,5,176,176,144,0,144,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA50.,0.5694,0.4306,0.0076,0.0054,0.0072,-0.1807,0.1385,-0.0314,-0.1832,QQQ,144.0,0.0069,0.0047,0.0007,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.9
LLY,break_ma20,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,break_ma20,60,328,324,71,0,71,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA20.,0.5915,0.4085,0.0509,0.0486,0.0367,-0.2984,0.4983,-0.0751,-0.368,SPY,71.0,0.0259,0.0237,0.0249,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.9
IGV,break_ma20,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,break_ma20,10,327,327,202,0,202,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA20.,0.5297,0.4703,0.0036,0.0013,0.0027,-0.1561,0.0937,-0.0347,-0.5982,QQQ,202.0,0.0038,0.0016,-0.0003,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.8
ASML,break_ma20,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,break_ma20,10,301,300,202,0,202,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA20.,0.5545,0.4455,0.0193,0.017,0.0073,-0.1702,0.6847,-0.0449,-0.2372,SMH,202.0,0.0088,0.0066,0.0105,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.8
GRID,failed_rebound_risk,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,failed_rebound_risk,10,583,580,174,0,174,True,20,2009-11-17,2026-07-10,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA5 and the prior 10-day close low.,0.5575,0.4425,0.0084,0.0062,0.0046,-0.172,0.1391,-0.0307,-0.1968,SPY,174.0,0.0076,0.0054,0.0008,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-10,adjusted,75.8
AVGO,break_ma20,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,break_ma20,10,248,248,160,0,160,True,20,2009-08-06,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA20.,0.5813,0.4188,0.0146,0.0123,0.0133,-0.1862,0.3805,-0.0489,-0.2143,SMH,160.0,0.0131,0.0109,0.0015,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,75.8
ZS,break_ma20,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,break_ma20,5,109,109,87,0,87,True,20,2018-03-16,2026-07-09,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA20.,0.5632,0.4368,0.0119,0.0097,0.0142,-0.1746,0.1671,-0.0502,-0.2285,QQQ,87.0,0.0055,0.0033,0.0064,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted,75.8
